tub,treatment,frequency,leq_test,leq_ambient,Leq
2,Loud,450,-35.8,-66.24,30.44
2,Loud,460,-36.55,-66.4,29.85
2,Loud,470,-37.19,-66.55,29.36
2,Loud,480,-37.72,-66.7,28.98
2,Loud,490,-38.14,-66.83,28.69
2,Loud,500,-38.47,-66.95,28.48
2,Loud,510,-38.75,-67.05,28.3
2,Loud,520,-39.01,-67.14,28.13
2,Loud,530,-39.27,-67.22,27.95
2,Loud,540,-39.55,-67.29,27.74
2,Loud,550,-39.87,-67.35,27.48
2,Loud,560,-40.25,-67.42,27.17
2,Loud,570,-40.68,-67.51,26.83
2,Loud,580,-41.18,-67.61,26.43
2,Loud,590,-41.76,-67.73,25.97
2,Loud,600,-42.41,-67.88,25.47
2,Loud,610,-43.15,-68.06,24.91
2,Loud,620,-43.96,-68.27,24.31
2,Loud,630,-44.86,-68.51,23.65
2,Loud,640,-45.83,-68.78,22.95
2,Loud,650,-46.88,-69.06,22.18
2,Loud,660,-48.01,-69.36,21.35
2,Loud,670,-49.19,-69.66,20.47
2,Loud,680,-50.42,-69.97,19.55
2,Loud,690,-51.68,-70.27,18.59
2,Loud,700,-52.93,-70.55,17.62
2,Loud,710,-54.14,-70.81,16.67
2,Loud,720,-55.27,-71.05,15.78
2,Loud,730,-56.28,-71.27,14.99
2,Loud,740,-57.11,-71.46,14.35
2,Loud,750,-57.76,-71.63,13.87
2,Loud,760,-58.23,-71.79,13.56
2,Loud,770,-58.54,-71.93,13.39
2,Loud,780,-58.72,-72.06,13.34
2,Loud,790,-58.81,-72.19,13.38
2,Loud,800,-58.85,-72.3,13.45
2,Loud,810,-58.87,-72.42,13.55
2,Loud,820,-58.88,-72.52,13.64
2,Loud,830,-58.92,-72.63,13.71
2,Loud,840,-58.98,-72.74,13.76
2,Loud,850,-59.07,-72.84,13.77
2,Loud,860,-59.2,-72.94,13.74
2,Loud,870,-59.36,-73.04,13.68
2,Loud,880,-59.56,-73.14,13.58
2,Loud,890,-59.79,-73.23,13.44
2,Loud,900,-60.04,-73.32,13.28
2,Loud,910,-60.3,-73.42,13.12
2,Loud,920,-60.58,-73.5,12.92
2,Loud,930,-60.85,-73.59,12.74
2,Loud,940,-61.11,-73.67,12.56
2,Loud,950,-61.37,-73.76,12.39
2,Loud,960,-61.62,-73.84,12.22
2,Loud,970,-61.87,-73.92,12.05
2,Loud,980,-62.1,-74,11.9
2,Loud,990,-62.34,-74.08,11.74
2,Loud,1000,-62.58,-74.16,11.58
2,Loud,1010,-62.83,-74.24,11.41
2,Loud,1020,-63.08,-74.32,11.24
2,Loud,1030,-63.35,-74.4,11.05
2,Loud,1040,-63.63,-74.48,10.85
2,Loud,1050,-63.93,-74.57,10.64
2,Loud,1060,-64.24,-74.65,10.41
2,Loud,1070,-64.56,-74.74,10.18
2,Loud,1080,-64.88,-74.82,9.94
2,Loud,1090,-65.22,-74.9,9.68
2,Loud,1100,-65.56,-74.97,9.41
2,Loud,1110,-65.89,-75.05,9.16
2,Loud,1120,-66.22,-75.11,8.89
2,Loud,1130,-66.55,-75.18,8.63
2,Loud,1140,-66.85,-75.23,8.38
2,Loud,1150,-67.14,-75.29,8.15
2,Loud,1160,-67.41,-75.33,7.92
2,Loud,1170,-67.65,-75.37,7.72
2,Loud,1180,-67.87,-75.41,7.54
2,Loud,1190,-68.07,-75.44,7.37
2,Loud,1200,-68.24,-75.47,7.23
2,Loud,1210,-68.4,-75.49,7.09
2,Loud,1220,-68.52,-75.52,7
2,Loud,1230,-68.63,-75.54,6.91
2,Loud,1240,-68.71,-75.56,6.85
2,Loud,1250,-68.77,-75.59,6.82
2,Loud,1260,-68.8,-75.61,6.81
2,Loud,1270,-68.81,-75.63,6.82
2,Loud,1280,-68.78,-75.66,6.88
2,Loud,1290,-68.73,-75.69,6.96
2,Loud,1300,-68.65,-75.72,7.07
2,Loud,1310,-68.55,-75.76,7.21
